Script,FindingID,Name,Status,Severity,Detail,Remediation,Timestamp
L08_auditd_logging,L08-C5,journald Persistent Storage,WARN,Med,journald Storage=auto (logs may not survive reboot),Set Storage=persistent in /etc/systemd/journald.conf,2026-03-15T10:23:37Z
L09_syslog_config,L09-C1,Syslog Daemon Running,PASS,High,Syslog daemon detected: rsyslog,,2026-03-15T10:23:38Z
L09_syslog_config,L09-C2,Remote Log Forwarding,WARN,Med,No remote syslog forwarding detected,Configure remote log forwarding to a SIEM or central log server,2026-03-15T10:23:38Z
L09_syslog_config,L09-C3,Auth Log Present,PASS,High,/var/log/auth.log has 97 lines,,2026-03-15T10:23:38Z
L09_syslog_config,L09-C4,World-Writable Log Files,PASS,High,No world-writable log files in /var/log,,2026-03-15T10:23:38Z
L09_syslog_config,L09-C5,Log Rotation Configured,PASS,Med,logrotate installed with 13 rotation config(s),,2026-03-15T10:23:38Z
L09_syslog_config,L09-C6,Journal Rate Limiting,INFO,Low,Journal rate limiting not explicitly configured (defaults apply),,2026-03-15T10:23:38Z
L11_luks_encryption,L11-C0,cryptsetup Available,WARN,High,cryptsetup not found – cannot verify LUKS encryption,Install: apt-get install cryptsetup (Debian) or yum install cryptsetup (RHEL),2026-03-15T10:23:39Z
L11_luks_encryption,L11-C2-sdd-noenc,Not Encrypted: /dev/sdd,FAIL,High,/dev/sdd: ext4 mounted at /mnt/wslg/distro – NOT LUKS encrypted,Enable LUKS encryption on this volume (requires data migration),2026-03-15T10:23:39Z
L11_luks_encryption,L11-C3,Active Encrypted Volumes,INFO,High,No dm-crypt mapped devices found,,2026-03-15T10:23:39Z
L11_luks_encryption,L11-C4,/etc/crypttab Present,INFO,Med,/etc/crypttab not found (may be pre-configured or not required),,2026-03-15T10:23:39Z
L12_secure_boot,L12-C1,Secure Boot,WARN,High,UEFI not detected – may be legacy BIOS or container,Migrate to UEFI and enable Secure Boot,2026-03-15T10:23:39Z
L12_secure_boot,L12-C2,Kernel Lockdown,WARN,High,Kernel lockdown not available (/sys/kernel/security/lockdown absent),Enable CONFIG_SECURITY_LOCKDOWN_LSM in kernel or use AppArmor/SELinux,2026-03-15T10:23:39Z
L12_secure_boot,L12-C3,Kernel Module Loading,INFO,High,kernel.modules_disabled=0 (modules can be loaded dynamically),"For high-security systems, set sysctl kernel.modules_disabled=1 after all modules loaded",2026-03-15T10:23:39Z
L12_secure_boot,L12-C5,IMA Enabled,WARN,Med,IMA not detected,Enable IMA by adding ima=on to kernel boot parameters (advanced configuration),2026-03-15T10:23:39Z
L12_secure_boot,L12-C6,dmesg Restriction,WARN,Low,kernel.dmesg_restrict=0 (non-root users can read kernel messages),Set: sysctl -w kernel.dmesg_restrict=1  and persist in /etc/sysctl.d/,2026-03-15T10:23:39Z
L13_av_edr_presence,L13-C2,EDR/AV Agent Detected,FAIL,Critical,No known AV/EDR agent detected,"Install and configure an AV/EDR solution (ClamAV minimum, enterprise EDR preferred)",2026-03-15T10:23:39Z
L13_av_edr_presence,L13-C3,MAC (SELinux/AppArmor),WARN,High,Neither SELinux nor AppArmor detected as enforcing,Enable AppArmor (Debian/Ubuntu: apt-get install apparmor) or SELinux (RHEL),2026-03-15T10:23:39Z
L13_av_edr_presence,L13-C4,File Integrity Monitor,WARN,Med,No file integrity monitor (AIDE/Tripwire/Samhain) detected,Install AIDE: apt-get install aide (Debian) or yum install aide (RHEL); aideinit,2026-03-15T10:23:39Z
L14_cron_persistence,L14-C2-65,Suspicious Cron Entry in /etc/cron.daily/apt-compat,WARN,High,Entry:     eval $(apt-config shell RandomSleep APT::Periodic::RandomSleep),Investigate this cron entry. Remove if not authorised.,2026-03-15T10:23:40Z
L14_cron_persistence,L14-C1,System Cron Entries,INFO,Info,201 system cron lines reviewed,,2026-03-15T10:23:40Z
L14_cron_persistence,L14-C4,Systemd Timers,INFO,Info,13 systemd timer(s) configured,,2026-03-15T10:23:40Z
L14_cron_persistence,L14-C6,Suspicious Shell Init Commands,WARN,High,"Suspicious entries in shell init files: eval $(/usr/bin/locale-check C.UTF-8) | eval_gettext() { |                 eval_gettext ""This message is shown once a day. To disable it please create the"" |                 eval_gettext ""file."" | uns","Investigate these entries in /etc/profile.d/, ~/.bashrc, /etc/bashrc",2026-03-15T10:23:40Z
L15_cis_baseline,L15-C1,IP Forwarding Disabled,FAIL,High,net.ipv4.ip_forward=1 (expected 0),sysctl -w net.ipv4.ip_forward=0 && echo 'net.ipv4.ip_forward=0' >> /etc/sysctl.d/99-cis.conf,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C2,Source Routing Disabled,PASS,High,net.ipv4.conf.all.accept_source_route=0,,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C3,ICMP Redirects Ignored,PASS,Med,net.ipv4.conf.all.accept_redirects=0,,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C4,Secure ICMP Redirects,FAIL,Med,net.ipv4.conf.all.secure_redirects=1 (expected 0),sysctl -w net.ipv4.conf.all.secure_redirects=0,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C5,Log Suspicious Packets,FAIL,Low,net.ipv4.conf.all.log_martians=0 (expected 1),sysctl -w net.ipv4.conf.all.log_martians=1,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C6,TCP SYN Cookies,PASS,Med,net.ipv4.tcp_syncookies=1,,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C7,Reverse Path Filtering,FAIL,High,net.ipv4.conf.all.rp_filter=2 (expected 1),sysctl -w net.ipv4.conf.all.rp_filter=1,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C8,IPv6 Router Advertisements,FAIL,Med,net.ipv6.conf.all.accept_ra=1 (expected 0),sysctl -w net.ipv6.conf.all.accept_ra=0 (if IPv6 not needed),2026-03-15T10:23:42Z
L15_cis_baseline,L15-C9,ASLR Enabled,PASS,High,kernel.randomize_va_space=2,,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C10,Ptrace Scope,PASS,Med,kernel.yama.ptrace_scope=1,,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C11,Dmesg Restriction,FAIL,Low,kernel.dmesg_restrict=0 (expected 1),sysctl -w kernel.dmesg_restrict=1,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C12,Kernel Pointer Restriction,FAIL,Med,kernel.kptr_restrict=1 (expected 2),sysctl -w kernel.kptr_restrict=2,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C13,Core Dump Restriction,PASS,Low,fs.suid_dumpable=0,,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C14,/tmp noexec,WARN,High,/tmp is NOT mounted with noexec,Add noexec to /tmp mount options in /etc/fstab,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C15,/tmp nosuid,WARN,Med,/tmp is NOT mounted with nosuid,Add nosuid to /tmp mount options in /etc/fstab,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C16,Default umask,WARN,Med,System umask=not_explicitly_set (022 is too permissive),Set umask 027 in /etc/profile or /etc/bash.bashrc,2026-03-15T10:23:42Z
L15_cis_baseline,L15-C17,Login Warning Banner,PASS,Low,/etc/motd or /etc/issue is configured,,2026-03-15T10:23:42Z
L16_secrets_scan,L16-C1,.env Files with Secrets,FAIL,Critical,1 .env file(s) contain sensitive key patterns: /home/jomar/Invoice-HUB/backend/.env,"Move secrets to a secrets manager (Vault, AWS Secrets Manager). Add .env to .gitignore.",2026-03-15T10:23:42Z
L16_secrets_scan,L16-C2,World-Readable Private SSH Keys,FAIL,Critical,3 world-readable private key(s): /home/jomar/bzp/.venv/lib/python3.12/site-packages/certifi/cacert.pem(644) /home/jomar/bzp/.venv/lib/python3.12/site-packages/pip/_vendor/certifi/cacert.pem(644) /home/jomar/infrascan/CyberSWISS---Cybersecurity-Scaner-/.venv/lib/python3.12/site-packages/pip/_vendor/certifi/cacert.pem(644),Run: chmod 600 <keyfile> for each affected file,2026-03-15T10:23:42Z
L16_secrets_scan,L16-C3,Hardcoded Credentials in Configs,PASS,High,No plaintext credential patterns found in /etc or /var/www config files,,2026-03-15T10:23:42Z
L16_secrets_scan,L16-C4,Cloud Credential Files,PASS,High,No world-readable cloud credential files found,,2026-03-15T10:23:42Z
L16_secrets_scan,L16-C5,Git Repos Missing .env in .gitignore,WARN,High,3 git repo(s) missing .env exclusion: /home/jomar/.gemini/history/ffa059ce5e84bf4192ffe1d3b1cde08bd03dfff755c286970b43fcd99509c6a7 /home/jomar/.gemini/history/37cb13af07fff6a75c49838254645181fc1fbe852dfe216e5abb8209cf11c931 /home/jomar/.nvm,Add .env to .gitignore in each repo. Audit git log for committed secrets with git-secrets or truffleHog.,2026-03-15T10:23:42Z
L16_secrets_scan,L16-C6,Docker Plaintext Credentials,PASS,High,No Docker config.json files with plaintext auth fields found,,2026-03-15T10:23:42Z
L16_secrets_scan,L16-C7,World-Readable Shadow/Passwd Backups,PASS,Critical,No world-readable shadow or passwd backup files found in /etc,,2026-03-15T10:23:42Z
L17_attack_surface,L17-C1,Internet-Facing Interfaces,INFO,High,No public routable IPs detected on any interface,,2026-03-15T10:23:44Z
L17_attack_surface,L17-C2,Sensitive Services Bound to 0.0.0.0,FAIL,High,Service(s) exposed on all interfaces: Redis(6379) PostgreSQL(5432),"Bind to 127.0.0.1 in each service config (e.g., bind 127.0.0.1 in redis.conf)",2026-03-15T10:23:44Z
L17_attack_surface,L17-C3,Risky Open Ports,PASS,High,"No high-risk legacy service ports detected (telnet, ftp, rsh, rpcbind, NFS, X11)",,2026-03-15T10:23:44Z
L17_attack_surface,L17-C4,Web Server Versions,PASS,Med,No outdated web server versions detected,,2026-03-15T10:23:44Z
L17_attack_surface,L17-C5,SSL/TLS Certificate Expiry,PASS,High,No certificates expiring within 30 days on localhost HTTPS ports,,2026-03-15T10:23:44Z
L17_attack_surface,L17-C6,DNS Zone Transfer (AXFR),INFO,Low,BIND/named not running or dig not available – DNS zone transfer check skipped,,2026-03-15T10:23:44Z
L17_attack_surface,L17-C7,IPv6 Attack Surface,WARN,Med,ip6tables INPUT chain has no meaningful rules (0 lines),"Add ip6tables rules equivalent to IPv4 firewall rules, or disable IPv6 if not required",2026-03-15T10:23:44Z
L18_api_endpoints,L18-C1,Local HTTP/HTTPS Services,INFO,Info,"No HTTP/HTTPS service ports detected (80,443,8080,8443,3000,4000,5000,8000,9000)",,2026-03-15T10:23:44Z
L18_api_endpoints,L18-C2,HTTP Security Headers,INFO,High,No HTTP services responded to curl checks,,2026-03-15T10:23:44Z
L18_api_endpoints,L18-C3,API Documentation Endpoints Exposed,PASS,Med,"No accessible API documentation endpoints found (swagger, openapi, graphql)",,2026-03-15T10:23:44Z
L18_api_endpoints,L18-C4,HTTP TRACE Method,PASS,Med,HTTP TRACE method not enabled on any discovered service,,2026-03-15T10:23:44Z
L18_api_endpoints,L18-C5,CORS Misconfiguration,PASS,High,No wildcard Access-Control-Allow-Origin header detected,,2026-03-15T10:23:44Z
L18_api_endpoints,L18-C6,Admin/Debug Endpoints,PASS,High,No accessible admin or debug endpoints found,,2026-03-15T10:23:44Z
L18_api_endpoints,L18-C7,HTTPS Redirect,INFO,Med,Port 80 not listening – HTTPS redirect check not applicable,,2026-03-15T10:23:44Z
L19_iac_scan,L19-C1,Dockerfile Security,FAIL,High,2 Dockerfile(s) with issues:  /home/jomar/Invoice-HUB/backend/Dockerfile:no-HEALTHCHECK; /home/jomar/.nvm/Dockerfile:no-HEALTHCHECK;,"Use non-root USER, prefer COPY over ADD, avoid secrets in ENV/ARG, add HEALTHCHECK",2026-03-15T10:23:44Z
L19_iac_scan,L19-C2,Docker Compose Security,PASS,High,1 docker-compose file(s) checked – no critical issues found,,2026-03-15T10:23:44Z
L19_iac_scan,L19-C3,Terraform Security,INFO,High,No Terraform (.tf) files found in search paths,,2026-03-15T10:23:44Z
L19_iac_scan,L19-C4,Kubernetes Manifest Security,PASS,High,1 K8s manifest(s) checked – no critical issues found,,2026-03-15T10:23:44Z
L19_iac_scan,L19-C5,Helm Chart Security,INFO,Med,No Helm Chart.yaml files found in search paths,,2026-03-15T10:23:44Z
L19_iac_scan,L19-C6,Ansible Playbook Security,INFO,Med,No Ansible playbooks (yml with hosts:) found in search paths,,2026-03-15T10:23:44Z
L19_iac_scan,L19-C7,IaC Tools Installed,INFO,Info,Installed IaC tools: docker(/usr/bin/docker),Ensure IaC tools are up-to-date and restricted to authorised users only,2026-03-15T10:23:44Z
L20_sca_licenses,L20-C1,Python Package CVE Check,PASS,High,Checked Python packages appear to meet minimum safe versions,,2026-03-15T10:23:46Z
L20_sca_licenses,L20-C2,Node.js Package Audit,PASS,High,No critical or high npm vulnerabilities detected in /home/jomar/bzp/seo-indexer,,2026-03-15T10:23:46Z
L20_sca_licenses,L20-C3,Copyleft License Detection,PASS,High,No GPL/AGPL/LGPL licensed packages detected in scanned manifests,,2026-03-15T10:23:46Z
L20_sca_licenses,L20-C4,Package Manager Versions,PASS,Low,Installed package managers meet minimum version requirements,,2026-03-15T10:23:46Z
L20_sca_licenses,L20-C5,Ruby Gems Security,INFO,High,No Ruby Gemfile.lock files found and bundler-audit not installed,,2026-03-15T10:23:46Z
L20_sca_licenses,L20-C6,Log4j Vulnerable JARs,PASS,Critical,"No log4j vulnerable version JARs detected in /opt, /var/www, /srv",,2026-03-15T10:23:46Z
L20_sca_licenses,L20-C7,End-of-Life OS / Container Base Image,PASS,Critical,OS release appears current: Ubuntu 24.04,,2026-03-15T10:23:46Z
L21_vulnerability_scan,L21-C1,OS Package Security Updates,PASS,Critical,No pending security updates detected via apt,,2026-03-15T10:23:50Z
L21_vulnerability_scan,L21-C2,OpenSSL Version,PASS,Critical,OpenSSL 3.0.13 – no known critical version flags,,2026-03-15T10:23:50Z
L21_vulnerability_scan,L21-C3,SSH Version Vulnerabilities,PASS,High,OpenSSH OpenSSH_9.6p1 – no critical version flags,,2026-03-15T10:23:50Z
L21_vulnerability_scan,L21-C4,Web Server CVE Exposure,PASS,High,No outdated web server versions detected,,2026-03-15T10:23:50Z
L21_vulnerability_scan,L21-C5,Network Vulnerability Scan,WARN,High,nmap not available. Banner info:none,Install nmap for comprehensive vulnerability scanning: apt-get install nmap,2026-03-15T10:23:50Z
L21_vulnerability_scan,L21-C6,Web Server Version Disclosure,PASS,Med,No web server version disclosure in HTTP headers on checked ports,,2026-03-15T10:23:50Z
L21_vulnerability_scan,L21-C7,CPU Vulnerability Mitigations,WARN,High,"Unmitigated CPU vulnerability(ies):  mmio_stale_data:Vulnerable: Clear CPU buffers attempted, no microcode; SMT Host state unknown;",Apply kernel updates and microcode patches. Check: grep . /sys/devices/system/cpu/vulnerabilities/*,2026-03-15T10:23:50Z
L22_compliance_checks,L22-C1,Audit Logging (SOC2 CC7.2 / HIPAA §164.312(b)),FAIL,High,Audit logging issues: auditd not installed or not running,"Install and start auditd; add rules for login, file access, and privilege escalation. See auditd.conf(5).",2026-03-15T10:23:51Z
L22_compliance_checks,L22-C2,Data Encryption at Rest (HIPAA §164.312 / GDPR Art.32),WARN,High,No LUKS/dm-crypt encrypted partitions detected,Enable LUKS full-disk encryption for data partitions; enable InnoDB encryption for MySQL,2026-03-15T10:23:51Z
L22_compliance_checks,L22-C3,Least Privilege / Access Control (SOC2 CC6.3),PASS,High,"No extra UID-0 accounts, no world-writable /etc dirs, SUID count within threshold",,2026-03-15T10:23:51Z
L22_compliance_checks,L22-C4,Log Retention >= 90 Days (SOC2 CC2.2 / HIPAA §164.312(b)),WARN,Med,logrotate: 1 daily rotations = ~1 days (below 90-day requirement),Configure logrotate to retain logs >= 90 days (rotate 13 weekly or 3 monthly with compress),2026-03-15T10:23:51Z
L22_compliance_checks,L22-C5,IDS/IPS Presence (SOC2 CC7.3),FAIL,High,"No IDS/IPS tools detected (aide, tripwire, ossec, wazuh, samhain)",Install and configure an IDS: apt-get install aide or deploy Wazuh agent for SIEM integration,2026-03-15T10:23:51Z
L22_compliance_checks,L22-C6,GDPR Data Minimisation – Large Files (GDPR Art.5),PASS,Med,"No files >100MB found in /tmp, /home, /var/tmp",,2026-03-15T10:23:51Z
L22_compliance_checks,L22-C7,Change Management Controls (SOC2 CC8.1),WARN,Med, /etc is not tracked in a git repository; No file integrity monitoring (aide/tripwire) configured;,Enable dpkg/dnf logging; track /etc with etckeeper (git); install aide for FIM,2026-03-15T10:23:51Z
L23_openvas_vuln_scan,L23-C1,Vulnerability Scanner Presence,WARN,High,No OpenVAS/GVM or Nessus scanner detected on this host.,Install OpenVAS/GVM (apt-get install gvm) or deploy a Nessus agent for continuous vulnerability assessment.,2026-03-15T10:23:51Z
L23_openvas_vuln_scan,L23-C2,SSL/TLS Certificate Validity,PASS,High,"All checked HTTPS listeners have valid, non-expired certificates",,2026-03-15T10:23:51Z
L23_openvas_vuln_scan,L23-C3,Weak TLS Protocol Exposure,PASS,Critical,No SSLv2/SSLv3/TLS1.0/TLS1.1 acceptance detected on checked HTTPS listeners,,2026-03-15T10:23:51Z
L23_openvas_vuln_scan,L23-C4,Insecure Legacy Protocol Exposure,PASS,Critical,No insecure legacy protocols (Telnet/FTP/rsh/rlogin/rexec/TFTP/Finger) detected,,2026-03-15T10:23:51Z
L23_openvas_vuln_scan,L23-C5,Samba/SMB Version and SMBv1 Exposure,PASS,Critical,No Samba installation or SMB port exposure detected,,2026-03-15T10:23:51Z
L23_openvas_vuln_scan,L23-C6,Anonymous FTP Access,PASS,Critical,Anonymous FTP login not detected,,2026-03-15T10:23:51Z
L23_openvas_vuln_scan,L23-C7,SNMP Default Community Strings,PASS,Info,SNMP UDP port 161 is not listening,,2026-03-15T10:23:51Z
L23_openvas_vuln_scan,L23-C8,Kernel CVE Cross-Reference,FAIL,Critical,Kernel issue(s):  1-CPU-vulnerability(ies)-unmitigated;,Update kernel to latest LTS release for your distribution. Run: apt-get install linux-image-generic OR dnf update kernel,2026-03-15T10:23:51Z
L23_openvas_vuln_scan,L23-C9,Unpatched Packages / CVE Exposure,PASS,Critical,No pending security package updates detected,,2026-03-15T10:23:51Z
L23_openvas_vuln_scan,L23-C10,Web Server Security Headers,PASS,Med,All detected web listeners have required security headers,,2026-03-15T10:23:51Z
L24_web_vuln_scan,L24-C1,Dangerous File/Path Exposure,PASS,Critical,"No exposed backup, config, or sensitive files detected on checked web ports",,2026-03-15T10:23:53Z
L24_web_vuln_scan,L24-C2,Outdated Web Server Software,PASS,High,No clearly outdated web server versions detected in response headers,,2026-03-15T10:23:53Z
L24_web_vuln_scan,L24-C3,Dangerous HTTP Methods Enabled,PASS,High,TRACE/PUT/DELETE not returning success responses on checked web listeners,,2026-03-15T10:23:53Z
L24_web_vuln_scan,L24-C4,Default/Sensitive Path Exposure,PASS,High,No default admin or sensitive paths accessible on checked web ports,,2026-03-15T10:23:53Z
L24_web_vuln_scan,L24-C5,Directory Listing Enabled,PASS,Med,No directory listing responses detected on checked web ports,,2026-03-15T10:23:53Z
L24_web_vuln_scan,L24-C6,Clickjacking Protection,PASS,Med,X-Frame-Options or CSP frame-ancestors present on checked web listeners,,2026-03-15T10:23:53Z
L24_web_vuln_scan,L24-C7,HTTPS Enforcement and HSTS,PASS,High,HTTP to HTTPS redirection and HSTS headers configured correctly,,2026-03-15T10:23:53Z
L24_web_vuln_scan,L24-C8,Insecure Cookie Attributes,PASS,High,No insecure cookie attribute patterns detected in response headers,,2026-03-15T10:23:53Z
L24_web_vuln_scan,L24-C9,Reflected XSS Indicators,PASS,Critical,No reflected XSS payload detected in tested parameter responses,,2026-03-15T10:23:53Z
L24_web_vuln_scan,L24-C10,Web Application Firewall (WAF) Presence,PASS,Med,WAF or input-blocking detected:none-needed-no-web-ports,,2026-03-15T10:23:53Z
L25_sqli_scanner,L25-C1,Error-Based SQL Injection,PASS,Critical,No SQL error messages reflected in tested web endpoint responses,,2026-03-15T10:23:53Z
L25_sqli_scanner,L25-C2,Boolean-Based Blind SQL Injection,PASS,Critical,No boolean-based blind SQLi response-size differences detected,,2026-03-15T10:23:53Z
L25_sqli_scanner,L25-C3,Time-Based Blind SQL Injection,PASS,Critical,No time-delay responses consistent with time-based SQLi detected,,2026-03-15T10:23:53Z
L25_sqli_scanner,L25-C4,Database Service Network Exposure,FAIL,Critical,Database(s) bound to external interface: Redis(port6379:EXTERNAL-BIND-risk); PostgreSQL(port5432:EXTERNAL-BIND-risk);,Bind database services to 127.0.0.1 only. Use firewall rules to restrict DB port access. Never expose databases directly to untrusted networks.,2026-03-15T10:23:53Z
L25_sqli_scanner,L25-C5,Database Default/Weak Credentials,PASS,Critical,No default or weak credentials accepted by detected database services,,2026-03-15T10:23:53Z
L25_sqli_scanner,L25-C6,Database Remote Access Configuration,PASS,High,Database services appear bound to localhost or not present,,2026-03-15T10:23:53Z
L25_sqli_scanner,L25-C7,Dangerous DB Procedures/UDFs,PASS,High,No dangerous stored procedures or UDF libraries detected,,2026-03-15T10:23:53Z
L25_sqli_scanner,L25-C8,Database Error Message Exposure,PASS,High,No database error messages detected in web application responses,,2026-03-15T10:23:53Z
L25_sqli_scanner,L25-C9,Raw SQL String Concatenation,WARN,Critical,3 file(s) with potential raw SQL patterns: /home/jomar/bzp/Indexer-python/db.py; /home/jomar/bzp/node_modules/axe-core/axe.min.js; /home/jomar/infrascan/CyberSWISS---Cybersecurity-Scaner-/common/db.py;,"Replace raw SQL string concatenation with parameterised queries / prepared statements. Use an ORM (SQLAlchemy, Hibernate, Eloquent).",2026-03-15T10:23:53Z
L25_sqli_scanner,L25-C10,Database Audit Logging,PASS,High,Database audit/query logging appears configured,,2026-03-15T10:23:53Z
